shipment_id,origin_street_address,origin_city,origin_state,origin_postal_code,origin_country,destination_street_address,destination_city,destination_state,destination_postal_code,destination_country,scheduled_pickup_date,actual_pickup_date,expected_delivery_date,actual_delivery_date,is_delayed,delay_duration_days,delay_causes,primary_delay_cause,carrier_name,shipment_weight_kg,shipment_volume_m3,shipment_type,route_id,vehicle_type
SHP03001,1275 Westwood Blvd,Los Angeles,CA,90024,USA,341 Cedar Avenue,Phoenix,AZ,85004,USA,2023-05-10,2023-05-11,2023-05-13,2023-05-13,false,0,,,Sunshine Express,24.53,0.15,parcel,RT301,truck
SHP03002,10 Rue de la Paix,Paris,Île-de-France,75002,France,1200 Changi Rd,Singapore,Central,409291,Singapore,2023-04-24,2023-04-25,2023-05-02,2023-05-06,true,4,"customs,weather",customs,EuroWay Global,3450.2,13.7,container,EU287,ship
SHP03003,89 Queen St,Auckland,Auckland,1010,New Zealand,2 Darling Dr,Sydney,NSW,2000,Australia,2023-05-01,2023-05-02,2023-05-06,2023-05-09,true,3,"customs,weather,staffing",weather,ANZ Pacific Cargo,412.78,1.9,pallet,OC101,ship
SHP03004,401 Wellington St,Ottawa,ON,K1A0A9,Canada,1207 Burnaby St,Vancouver,BC,V6E1P8,Canada,2023-06-02,2023-06-03,2023-06-06,2023-06-07,true,1,traffic,traffic,Great North Freight,67.4,0.41,parcel,CA923,truck
SHP03005,91 Oxford St,London,England,W1D2DY,UK,1600 Broadway,New York,NY,10019,USA,2023-05-30,2023-05-31,2023-06-05,2023-06-07,true,2,"customs,weather",customs,TransAtlantic Cargo,5014.1,33.83,container,EU310,ship
SHP03006,1343 Lakeview Dr,Dallas,TX,75204,USA,89 Mission Rd,San Antonio,TX,78205,USA,2023-04-15,2023-04-15,2023-04-17,2023-04-17,false,0,,,Texas Star Express,38.19,0.19,parcel,RT302,truck
SHP03007,21 Raffles Ave,Singapore,Central,039803,Singapore,456 Jalan Bukit,Kuala Lumpur,Wilayah Persekutuan,50480,Malaysia,2023-07-02,2023-07-02,2023-07-04,2023-07-05,true,1,"customs,staffing",staffing,ASEAN FastFreight,92.5,0.49,parcel,AS284,van
SHP03008,18 Temple Rd,Bangkok,Bangkok,10200,Thailand,129 Victoria St,Melbourne,VIC,3000,Australia,2023-06-15,2023-06-15,2023-06-23,2023-06-29,true,6,"customs,weather",weather,IndoPacific Carriers,1093.7,7.4,container,AS314,ship
SHP03009,91 Seaview Blvd,Cape Town,Western Cape,8001,South Africa,11 Market St,Johannesburg,Gauteng,2000,South Africa,2023-03-03,2023-03-04,2023-03-07,2023-03-07,false,0,,,Rainbow Logistics,234.18,1.01,pallet,AF111,truck
SHP03010,231 Main Rd,Zurich,Zurich,8001,Switzerland,56 Leopoldstrasse,Munich,Bavaria,80333,Germany,2023-05-09,2023-05-10,2023-05-13,2023-05-15,true,2,"staffing,traffic",staffing,Alpine Rail Transport,181.3,0.78,pallet,EU402,rail
SHP03011,44 Pleasant St,Boston,MA,02114,USA,3020 Spruce St,Philadelphia,PA,19104,USA,2023-03-17,2023-03-17,2023-03-19,2023-03-19,false,0,,,Atlantic Delivery,13.7,0.07,parcel,RT303,truck
SHP03012,1 George St,Sydney,NSW,2000,Australia,55 Collins St,Melbourne,VIC,3000,Australia,2023-07-10,2023-07-11,2023-07-14,2023-07-15,true,1,traffic,traffic,DownUnder Logistics,86.1,0.38,parcel,AU091,van
SHP03013,9 Nathan Rd,Hong Kong,Kowloon,999077,China,99 Beach Rd,Singapore,Central,189701,Singapore,2023-08-22,2023-08-23,2023-08-29,2023-09-01,true,3,"customs,weather",weather,Eastern Silk Logistics,3045.5,12.12,container,AS399,ship
SHP03014,155 Market St,San Francisco,CA,94105,USA,120 E Main St,Seattle,WA,98101,USA,2023-06-01,2023-06-02,2023-06-04,2023-06-05,true,1,"traffic,weather",traffic,West Coast Cargo,16.9,0.11,parcel,RT304,truck
SHP03015,502 Main St,Dublin,Leinster,D01F5P2,Ireland,177 Bahnhofstrasse,Zurich,Zurich,8001,Switzerland,2023-04-14,2023-04-15,2023-04-19,2023-04-20,true,1,weather,weather,Emerald Railways,319.9,1.03,pallet,EU356,rail
SHP03016,6000 Beach Ave,Miami,FL,33139,USA,45 Ocean Dr,Key West,FL,33040,USA,2023-03-23,2023-03-24,2023-03-25,2023-03-25,false,0,,,TropicStar Logistics,11.5,0.04,parcel,RT305,van
SHP03017,1600 S Las Vegas Blvd,Las Vegas,NV,89104,USA,500 Fremont St,Las Vegas,NV,89101,USA,2023-05-06,2023-05-06,2023-05-06,2023-05-06,false,0,,,Vegas Metro Express,0.012,0.0005,document,NV01,van
SHP03018,1100 Avenida Corrientes,Buenos Aires,Buenos Aires,C1043AAX,Argentina,750 Avenida Paulista,Sao Paulo,Sao Paulo,01310-100,Brazil,2023-02-10,2023-02-10,2023-02-14,2023-02-19,true,5,"weather,staffing",weather,Andes Frontier Logistics,72.6,0.75,other,SA105,other
SHP03019,12 Rue de Lyon,Geneva,Geneva,1203,Switzerland,48 Rue de Rivoli,Paris,Île-de-France,75004,France,2023-06-21,2023-06-22,2023-06-24,2023-06-24,false,0,,,Alpine EuroExpress,98.4,0.55,pallet,EU455,rail
SHP03020,21 Fifth Ave,New York,NY,10011,USA,500 State St,Chicago,IL,60654,USA,2023-07-04,2023-07-05,2023-07-08,2023-07-08,false,0,,,Midwest Haulage,44.2,0.22,parcel,RT306,truck
SHP03021,15 Rue de Lausanne,Geneva,Geneva,1201,Switzerland,999 Kurfürstendamm,Berlin,Berlin,10709,Germany,2023-06-23,2023-06-23,2023-06-26,2023-06-29,true,3,"staffing,weather",staffing,Alpine EuroExpress,124,0.96,pallet,EU455,rail
SHP03022,14 Bedford Ave,Brooklyn,NY,11222,USA,7000 Kennedy Blvd,Jersey City,NJ,07305,USA,2023-08-15,,2023-08-18,,false,0,,,Empire State Freight,21,0.08,parcel,RT307,truck
SHP03023,18 Avenida Prado,Lima,Lima,15001,Peru,33 Calle 50,Panama City,Panama,0801,Panama,2023-05-25,2023-05-26,2023-05-28,2023-05-29,true,1,staffing,staffing,Condor Logistics,62.3,0.47,other,SA193,other
SHP03024,201 Queen St,Auckland,Auckland,1010,New Zealand,200 Flinders St,Melbourne,VIC,3000,Australia,2023-08-01,2023-08-02,2023-08-08,2023-08-10,true,2,weather,weather,ANZ Pacific Cargo,411.2,1.45,pallet,OC101,ship
SHP03025,500 King St,Toronto,ON,M5V1M1,Canada,200 Main St,Ottawa,ON,K1P5G4,Canada,2023-04-18,2023-04-19,2023-04-22,2023-04-22,false,0,,,Maple Leaf Couriers,0.03,0.0007,document,CA201,van
SHP03026,18 Sheikh Zayed Rd,Dubai,Dubai,00000,UAE,51 Corniche Rd,Abu Dhabi,Abu Dhabi,00000,UAE,2023-05-11,2023-05-11,2023-05-14,2023-05-18,true,4,"staffing,weather",staffing,Emirates Logistics,81.2,0.64,other,ME153,other
SHP03027,3000 Pine St,Seattle,WA,98101,USA,4050 9th Ave,Portland,OR,97205,USA,2023-07-13,2023-07-14,2023-07-16,2023-07-17,true,1,traffic,traffic,Pacific Northwest Haulage,33.8,0.16,parcel,RT308,truck
SHP03028,77 Oxford Rd,Manchester,England,M13 9PL,UK,20 Piccadilly,London,England,W1J9HP,UK,2023-03-30,2023-03-31,2023-04-01,2023-04-01,false,0,,,BritExpress,0.021,0.0002,document,UK01,air
SHP03029,1151 Granville St,Vancouver,BC,V6Z1M1,Canada,900 Jasper Ave,Edmonton,AB,T5J1P1,Canada,2023-06-10,2023-06-11,2023-06-13,2023-06-14,true,1,traffic,traffic,Western Canada Freight,64.7,0.39,parcel,CA923,truck
SHP03030,500 Plaza Mayor,Madrid,Madrid,28012,Spain,2 Prinsengracht,Amsterdam,North Holland,1015DV,Netherlands,2023-05-12,2023-05-13,2023-05-18,2023-05-19,true,1,customs,customs,Iberia Logistics,397.5,1.31,pallet,EU512,rail
SHP03031,1 Victoria Harbour,Hong Kong,Hong Kong,999077,China,88 Nathan Rd,Hong Kong,Hong Kong,999077,China,2023-07-20,,2023-07-23,,false,0,,,Eastern Silk Logistics,0.015,0.0006,document,HK01,van
SHP03032,902 N Michigan Ave,Chicago,IL,60611,USA,333 S Grand Ave,Los Angeles,CA,90071,USA,2023-08-14,,2023-08-18,,false,0,,,Midwest Haulage,28.9,0.13,parcel,RT309,truck
SHP03033,25 Old Bond St,London,England,W1S4PB,UK,1500 King St W,Toronto,ON,M6K1J5,Canada,2023-09-01,2023-09-02,2023-09-09,2023-09-11,true,2,"customs,staffing",customs,BritExpress,3620.9,16.4,container,EU601,ship
SHP03034,1726 Broadway,Denver,CO,80202,USA,333 16th St,Denver,CO,80202,USA,2023-07-30,,2023-08-01,,false,0,,,Rocky Mountain Express,0.018,0.0004,document,CO01,van
SHP03035,19 Avenue Habib Bourguiba,Tunis,Tunis,1000,Tunisia,120 Nile St,Cairo,Cairo,11511,Egypt,2023-04-22,2023-04-23,2023-04-27,2023-04-29,true,2,"weather,staffing",weather,Sahara Desert Logistics,89.7,0.58,other,AF214,other
SHP03036,1201 Broadway,Nashville,TN,37203,USA,1515 9th Ave,Nashville,TN,37208,USA,2023-05-19,2023-05-20,2023-05-22,2023-05-22,false,0,,,Volunteer State Freight,15.4,0.09,parcel,RT310,truck
SHP03037,800 Canal St,New Orleans,LA,70112,USA,900 Poydras St,New Orleans,LA,70112,USA,2023-06-13,2023-06-13,2023-06-13,2023-06-13,false,0,,,Bayou City Couriers,0.014,0.0003,document,LA01,van
SHP03038,44 Orchard Rd,Singapore,Central,238841,Singapore,21 Jalan Sudirman,Jakarta,Jakarta,10110,Indonesia,2023-05-16,2023-05-16,2023-05-20,2023-05-22,true,2,"customs,staffing",customs,IndoPacific Carriers,792.4,5.2,container,AS314,ship
SHP03039,88 Avenida Amazonas,Quito,Pichincha,170143,Ecuador,45 Carrera 7,Bogota,Cundinamarca,110111,Colombia,2023-07-17,2023-07-18,2023-07-20,2023-07-23,true,3,"weather,staffing",staffing,Andes Frontier Logistics,79.2,0.68,other,SA105,other
SHP03040,27 Via Roma,Rome,Lazio,00184,Italy,999 Avenida Paulista,Sao Paulo,Sao Paulo,01310-100,Brazil,2023-04-19,2023-04-20,2023-04-27,2023-05-01,true,4,"customs,staffing,weather",weather,Mediterranean Cargo,1135.3,7.8,container,EU213,ship
SHP03041,5 Avenue de l'Opéra,Paris,Île-de-France,75001,France,100 Rue St-Honoré,Paris,Île-de-France,75001,France,2023-06-16,2023-06-16,2023-06-17,2023-06-17,false,0,,,Paris City Express,0.017,0.0008,document,FR01,air
SHP03042,4000 King George Blvd,Surrey,BC,V3Z1G9,Canada,2100 Hastings St,Vancouver,BC,V5L1S3,Canada,2023-06-19,2023-06-20,2023-06-22,2023-06-22,false,0,,,Great North Freight,53.6,0.28,parcel,CA923,truck
SHP03043,83 Marine Parade,Cape Town,Western Cape,8005,South Africa,600 Oxford St,Durban,KwaZulu-Natal,4001,South Africa,2023-04-10,2023-04-11,2023-04-13,2023-04-13,false,0,,,Rainbow Logistics,63.2,0.31,parcel,AF111,truck
SHP03044,23 Promenade des Anglais,Nice,Provence-Alpes-Côte d'Azur,06000,France,201 Via Garibaldi,Genoa,Liguria,16124,Italy,2023-05-27,2023-05-28,2023-05-31,2023-06-02,true,2,"customs,traffic",customs,Mediterranean Cargo,374.5,1.36,pallet,EU213,rail
SHP03045,900 Pine St,Seattle,WA,98101,USA,2000 4th Ave,Seattle,WA,98121,USA,2023-08-02,,2023-08-03,,false,0,,,Pacific Northwest Haulage,0.019,0.0007,document,WA01,van
SHP03046,7 Rue de Rivoli,Paris,Île-de-France,75004,France,100 Alexanderplatz,Berlin,Berlin,10178,Germany,2023-06-28,2023-06-29,2023-07-03,2023-07-06,true,3,"customs,staffing",staffing,Alpine EuroExpress,128.9,0.99,pallet,EU455,rail
SHP03047,1200 Avenida del Libertador,Buenos Aires,Buenos Aires,C1425AAN,Argentina,150 Calle 9,La Paz,La Paz,0001,Bolivia,2023-04-04,2023-04-05,2023-04-11,2023-04-17,true,6,"weather,staffing",weather,Andes Frontier Logistics,87.1,0.61,other,SA105,other
SHP03048,1900 Lincoln Way,San Francisco,CA,94122,USA,1000 Market St,San Francisco,CA,94102,USA,2023-07-27,,2023-07-30,,false,0,,,West Coast Cargo,0.022,0.0003,document,CA01,van
SHP03049,2 Place Masséna,Nice,Provence-Alpes-Côte d'Azur,06000,France,1000 Via Roma,Milan,Lombardy,20121,Italy,2023-05-29,2023-05-30,2023-06-03,2023-06-05,true,2,"customs,traffic",traffic,Mediterranean Cargo,384.2,1.42,pallet,EU213,rail
SHP03050,1 Antarctic Base,McMurdo Station,Ross Dependency,00000,Antarctica,123 Queen St,Christchurch,Canterbury,8011,New Zealand,2023-04-03,2023-04-04,2023-04-12,2023-04-21,true,9,"weather,staffing",weather,Polar Logistics,28.5,0.14,other,AN001,other
SHP06000,4110 Prospect Ave,San Diego,CA,92116,USA,2004 Willow St,Los Angeles,CA,90017,USA,2024-01-05,2024-01-05,2024-01-08,2024-01-08,false,0,,,Pacific Express,27.8,0.19,parcel,RT1023,van
,,,,,,,,,,,,,,,,,,,,,,,,
SHP01001,1234 West Main St,Chicago,IL,60616,USA,2907 Elm Avenue,Houston,TX,77002,USA,2024-03-01,2024-03-01,2024-03-04,2024-03-04,false,0,,,Starline Express,12.7,0.17,parcel,RT0213,truck
SHP01002,56 Market Lane,London,Greater London,E1 6AN,UK,77 Quai de Valmy,Paris,Île-de-France,75010,France,2024-02-13,2024-02-13,2024-02-16,2024-02-20,true,4,"customs,weather",customs,EuroWay Logistics,940.8,7.3,container,EU1102,rail
SHP01003,31 Bay Street,Toronto,ON,M5J2B3,Canada,7500 Lake Road,Montreal,QC,H2Y1G7,Canada,2024-03-11,2024-03-11,2024-03-13,2024-03-13,false,0,,,TransCan Freight,81.2,0.42,pallet,CA0173,rail
SHP01004,9 Rue du Rhône,Geneva,Geneva,1204,Switzerland,13 Via Roma,Milan,Lombardy,20121,Italy,2024-02-22,2024-02-22,2024-02-25,2024-02-27,true,2,"weather,staffing",weather,Alpine Transports,305.4,1.3,pallet,EU1319,truck
SHP01005,7501 Willow Ave,San Francisco,CA,94107,USA,12 South Park St,Los Angeles,CA,90015,USA,2024-04-02,2024-04-03,2024-04-06,2024-04-06,false,0,,,Pacific Haulage,37.1,0.19,parcel,RT0541,van
SHP01006,17 Avenue des Champs,Paris,Île-de-France,75008,France,100 Rue Sherbrooke,Montreal,QC,H3A2R7,Canada,2024-03-12,2024-03-15,2024-03-18,2024-03-24,true,6,"customs,weather,staffing",customs,TransAtlantic Cargo,13800.5,55.7,container,EU0221,ship
SHP01007,8125 King St,Sydney,NSW,2000,Australia,25 Queen Street,Auckland,Auckland,1010,New Zealand,2024-01-10,2024-01-11,2024-01-15,2024-01-19,true,4,"weather,vehicle breakdown",vehicle breakdown,DownUnder Logistics,629.3,8.4,container,AU3004,ship
SHP01008,44 Canal Street,New Orleans,LA,70130,USA,99 Palm Ave,Miami,FL,33101,USA,2024-03-19,2024-03-19,2024-03-22,2024-03-22,false,0,,,BrightSun Freight,14.8,0.13,parcel,RT0331,truck
SHP01009,50 Orchard Road,Singapore,Central,238880,Singapore,19 Jalan Sudirman,Jakarta,Jakarta,10220,Indonesia,2024-03-25,2024-03-27,2024-03-29,2024-03-31,true,2,"staffing,traffic",staffing,ASEAN Freightways,91.2,0.32,pallet,AS0912,van
SHP01010,1200 Liberty Blvd,Philadelphia,PA,19123,USA,11 14th Street,New York,NY,10011,USA,2024-02-02,2024-02-03,2024-02-05,2024-02-05,false,0,,,Northeast Logistics,21.3,0.12,parcel,RT1007,truck
SHP01011,3 State Street,Boston,MA,02109,USA,88 River Rd,Hartford,CT,06103,USA,2024-03-14,2024-03-14,2024-03-15,2024-03-15,false,0,,,Metro Delivery,64.5,0.26,parcel,RT0124,van
SHP01012,101 Fifth Avenue,New York,NY,10010,USA,17 Beacon St,Boston,MA,02108,USA,2024-02-17,2024-02-17,2024-02-18,2024-02-18,false,0,,,Liberty Freight,7.9,0.08,parcel,RT0097,truck
SHP01013,2175 Broadway,New York,NY,10024,USA,50 Cambridge St,Boston,MA,02114,USA,2024-04-05,,2024-04-07,,false,0,,,Northeast Logistics,3.4,0.02,parcel,RT0236,truck
SHP01014,66 Leinster Road,Dublin,Leinster,D06H6K8,Ireland,86 O'Connell St,Limerick,Munster,V94T9V6,Ireland,2024-02-07,2024-02-07,2024-02-09,2024-02-09,false,0,,,Emerald Couriers,0.04,0.0004,document,IE2043,van
SHP01015,2 Queen Victoria St,London,Greater London,EC4N4TQ,UK,1 George St,Edinburgh,Scotland,EH22LL,UK,2024-03-17,2024-03-17,2024-03-18,2024-03-18,false,0,,,BritExpress,0.01,0.0001,document,UK0191,air
SHP01016,17 Seaview Parade,Cape Town,Western Cape,8001,South Africa,10 Main Road,Johannesburg,Gauteng,2001,South Africa,2024-01-19,2024-01-19,2024-01-22,2024-01-27,true,5,"traffic,staffing",staffing,Rainbow Logistics,88.5,0.38,pallet,SA0138,rail
SHP01017,88 Gran Via,Madrid,Madrid,28013,Spain,45 Via del Corso,Rome,Lazio,00187,Italy,2024-02-18,2024-02-18,2024-02-21,2024-02-22,true,1,weather,weather,Iberia Couriers,52.3,0.19,pallet,EU1835,rail
SHP01018,7 Rua Augusta,Lisbon,Lisbon,1100-053,Portugal,120 Avenida Paulista,Sao Paulo,SP,01310-000,Brazil,2024-03-10,2024-03-11,2024-03-17,2024-03-22,true,5,"customs,weather",weather,Atlantic Oceanic,7401.2,29.2,container,EU2931,ship
SHP01019,6500 Andes Rd,La Paz,La Paz,LPZ101,Bolivia,22 Calle Lima,Cusco,Cusco,08002,Peru,2024-01-22,2024-01-22,2024-01-25,2024-01-28,true,3,"weather,staffing",weather,Andes Freight,55.9,0.43,other,AN0952,other
SHP01020,2 Zhongshan Rd,Shanghai,Shanghai,200002,China,14 Nathan Road,Hong Kong,Hong Kong,999077,China,2024-02-20,2024-02-20,2024-02-22,2024-02-22,false,0,,,Dragon Line Cargo,0.02,0.0002,document,CN0147,air
SHP01021,200 Rue Sainte-Catherine,Montreal,QC,H2X3X5,Canada,101 King St W,Toronto,ON,M5H1J9,Canada,2024-03-20,2024-03-21,2024-03-22,2024-03-22,false,0,,,True North Transport,62.3,0.2,pallet,CA0387,truck
SHP01022,1 Polar Station,McMurdo,Antarctica,96599,Antarctica,15 Aurora Rd,Ushuaia,Tierra del Fuego,9410,Argentina,2024-01-05,2024-01-06,2024-01-15,2024-01-25,true,10,"weather,customs,staffing",weather,Polar Logistics,23.1,0.48,other,AN1100,other
SHP01023,800 Riverside Blvd,Los Angeles,CA,90012,USA,450 Lake Shore Dr,Chicago,IL,60605,USA,2024-03-05,2024-03-06,2024-03-08,2024-03-11,true,3,"traffic,weather",traffic,Starline Express,24.6,0.16,parcel,RT0324,truck
SHP01024,9000 Ocean Dr,Miami,FL,33139,USA,1900 Bay Area Blvd,Houston,TX,77058,USA,2024-04-04,,2024-04-06,,false,0,,,BrightSun Freight,10.9,0.09,parcel,RT0491,van
SHP01025,65 Victoria Rd,Cape Town,Western Cape,8005,South Africa,19 Main St,Windhoek,Khomas,10005,Namibia,2024-03-06,2024-03-08,2024-03-13,2024-03-18,true,5,"staffing,weather",staffing,Desert Express,77.6,0.31,pallet,SA0529,rail
SHP01026,99 Beach Rd,Singapore,Central,189701,Singapore,37 Charoen Krung Rd,Bangkok,Bangkok,10500,Thailand,2024-02-09,2024-02-09,2024-02-12,2024-02-12,false,0,,,ASEAN Freightways,0.03,0.0002,document,AS0031,air
SHP01027,210 Avenida Corrientes,Buenos Aires,Buenos Aires,C1043AAN,Argentina,5 Calle 50,Panama City,Panama,0801,Panama,2024-03-07,2024-03-07,2024-03-15,2024-03-18,true,3,"customs,weather",customs,SouthAmerican Line,2380.7,9.5,container,SA2910,ship
SHP01028,22 Orchard Blvd,Singapore,Central,238885,Singapore,900 Bukit Timah Rd,Kuala Lumpur,WP Kuala Lumpur,50480,Malaysia,2024-04-10,,2024-04-12,,false,0,,,ASEAN Freightways,2.7,0.01,parcel,AS0901,truck
SHP01029,2310 Harbor Dr,Los Angeles,CA,90731,USA,8000 Beacon St,San Diego,CA,92101,USA,2024-03-15,2024-03-15,2024-03-16,2024-03-16,false,0,,,Pacific Haulage,19.6,0.14,parcel,RT0415,truck
SHP01030,8111 Northpoint Pkwy,Atlanta,GA,30350,USA,345 Peachtree St,Atlanta,GA,30309,USA,2024-04-08,,2024-04-09,,false,0,,,Southern Freight,28.3,0.11,parcel,RT0586,van
SHP01031,14 Sheikh Zayed Rd,Dubai,Dubai,00000,UAE,600 Doha Corniche,Doha,Doha,21001,Qatar,2024-01-20,2024-01-22,2024-01-24,2024-01-29,true,5,"customs,staffing",customs,Gulf Connect,1920.5,8.8,container,ME1542,ship
SHP01032,7000 Seaview Dr,Seattle,WA,98117,USA,3500 Main St,Portland,OR,97209,USA,2024-03-27,2024-03-27,2024-03-28,2024-03-30,true,2,"traffic,weather",weather,Pacific Haulage,12.1,0.12,parcel,RT0772,truck
SHP01033,5200 Lakeview Blvd,Cleveland,OH,44114,USA,1000 Liberty Ave,Pittsburgh,PA,15222,USA,2024-03-08,2024-03-08,2024-03-09,2024-03-09,false,0,,,Starline Express,13,0.13,parcel,RT0219,truck
SHP01034,99 Yonge Street,Toronto,ON,M5E1J3,Canada,250 Laurier Ave,Ottawa,ON,K1P5J6,Canada,2024-03-16,2024-03-17,2024-03-18,2024-03-18,false,0,,,True North Transport,95.1,0.48,pallet,CA0292,truck
SHP01035,12 Harbourfront Walk,Singapore,Central,098585,Singapore,18 Beach Road,Phuket,Phuket,83100,Thailand,2024-02-13,2024-02-14,2024-02-17,2024-02-20,true,3,"weather,staffing",staffing,ASEAN Freightways,66.8,0.29,pallet,AS0729,rail
SHP01036,1000 Strand Road,Yangon,Yangon,11181,Myanmar,200 Silom Rd,Bangkok,Bangkok,10500,Thailand,2024-01-29,2024-01-29,2024-02-04,2024-02-06,true,2,"traffic,staffing",traffic,Mekong Express,101,0.51,pallet,AS3080,rail
SHP01037,4000 Arctic Blvd,Anchorage,AK,99503,USA,10 Tundra Rd,Barrow,AK,99723,USA,2024-02-02,2024-02-02,2024-02-08,2024-02-13,true,5,"weather,staffing",weather,Frontier Logistics,22.4,0.35,other,AK1017,other
SHP01038,12 Rue de Lausanne,Geneva,Geneva,1201,Switzerland,21 Mariahilfer Strasse,Vienna,Vienna,1070,Austria,2024-03-14,2024-03-14,2024-03-17,2024-03-17,false,0,,,Alpine Transports,0.03,0.0003,document,EU2134,van
SHP01039,700 Rue Ste-Catherine,Montreal,QC,H3C1J2,Canada,77 Yonge St,Toronto,ON,M5E1Z2,Canada,2024-04-01,,2024-04-04,,false,0,,,True North Transport,1.3,0.02,parcel,CA0871,truck
SHP01040,200 Main Street,Dallas,TX,75201,USA,1000 Cedar St,Austin,TX,78701,USA,2024-04-05,,2024-04-07,,false,0,,,Southern Freight,7.8,0.09,parcel,RT0521,truck
SHP01041,4000 Rue St-Denis,Montreal,QC,H2W2M5,Canada,81 Main Street,Ottawa,ON,K1S5A5,Canada,2024-03-18,2024-03-18,2024-03-19,2024-03-19,false,0,,,TransCan Freight,85.4,0.49,pallet,CA0644,rail
SHP01042,8 Rue Sainte-Catherine,Montreal,QC,H2X3K3,Canada,112 King St E,Toronto,ON,M5C1G6,Canada,2024-03-13,2024-03-13,2024-03-15,2024-03-15,false,0,,,TransCan Freight,74.7,0.41,pallet,CA0745,rail
SHP01043,1 Rue de Rivoli,Paris,Île-de-France,75001,France,99 Hauptstrasse,Frankfurt,Hesse,60313,Germany,2024-02-22,2024-02-23,2024-02-26,2024-03-02,true,4,"customs,weather",weather,EuroWay Logistics,15300.1,65,container,EU3019,ship
SHP01044,88 Dongzhimen St,Beijing,Beijing,100007,China,33 Marina Bay,Singapore,Central,018982,Singapore,2024-03-21,2024-03-23,2024-03-26,2024-03-29,true,3,"customs,staffing",customs,Dragon Line Cargo,970.3,8.2,container,CN0229,rail
SHP01045,11 Rue Victor Hugo,Paris,Île-de-France,75002,France,99 Via Dante,Milan,Lombardy,20121,Italy,2024-01-20,2024-01-21,2024-01-26,2024-01-31,true,5,"weather,staffing",staffing,Alpine Transports,420.2,1.8,pallet,EU1712,rail
SHP01046,86 Victoria Harbour,Hong Kong,Hong Kong,999077,China,19 Nathan Rd,Hong Kong,Hong Kong,999077,China,2024-02-27,2024-02-27,2024-02-28,2024-02-28,false,0,,,Dragon Line Cargo,0.02,0.0002,document,CN0071,van
SHP01047,1 Rue Sainte Claire,Geneva,Geneva,1204,Switzerland,20 Bahnhofstrasse,Zurich,Zurich,8001,Switzerland,2024-03-09,2024-03-09,2024-03-11,2024-03-12,true,1,traffic,traffic,Alpine Transports,0.04,0.0003,document,EU2105,van
SHP01048,1 Union Station,Denver,CO,80202,USA,700 Main St,Salt Lake City,UT,84101,USA,2024-04-11,,2024-04-13,,false,0,,,Starline Express,8.2,0.09,parcel,RT0618,truck